# Coastline segments for fractal box-counting analysis
# Format: x1 y1 x2 y2
# Source: Natural Earth coastline data
# Number of segments: 2000
# Total length: 302.27 degrees
# Bounds: X=[-17.3458, 180.0000], Y=[-34.7566, 77.6411]
#
-3.988477 57.581250 -3.868164 57.600342
-3.083936 57.673486 -3.036035 57.672314
-1.961523 57.676660 -1.867383 57.612354
-2.020312 57.258887 -2.045508 57.208545
-2.500977 56.636572 -2.592676 56.561572
-3.214453 56.383936 -3.309961 56.363477
-2.674268 56.253418 -2.767578 56.202148
-3.480420 56.032812 -3.695117 56.063330
-3.015088 55.958594 -2.836865 56.026270
-1.728760 55.618555 -1.655371 55.570361
-1.291748 54.773877 -1.232422 54.703711
-0.370361 54.279199 -0.232861 54.190137
-0.108252 53.865186 0.010547 53.742822
-0.073730 53.643652 -0.173828 53.685449
-0.485059 53.694385 -0.293701 53.692334
0.208203 53.030029 0.124414 52.971582
0.431641 52.858154 0.515527 52.938379
1.055566 52.958984 1.271289 52.924561
1.746582 52.468994 1.700391 52.368896
1.558984 52.086865 1.413477 51.994775
1.273828 51.902100 1.274414 51.845361
0.898047 51.689404 0.927441 51.646631
0.507227 51.501074 0.424512 51.465625
0.889355 51.359521 1.014941 51.359717
1.397559 51.182031 1.365527 51.155469
0.684375 50.885547 0.532324 50.853418
-0.450781 50.810156 -0.785254 50.765430
-1.416455 50.896875 -1.334473 50.820801
-1.866016 50.715234 -2.031055 50.725391
-2.350146 50.637402 -2.394678 50.630908
-2.900879 50.722412 -2.999414 50.716602
-3.679785 50.239941 -3.793359 50.229248
-4.217285 50.378174 -4.296973 50.359082
-5.009521 50.160742 -5.048633 50.134375
-5.551221 50.083398 -5.622119 50.050684
-5.141797 50.373730 -5.043457 50.451514
-4.582910 50.776367 -4.559961 50.820947
-4.188184 51.188525 -4.158398 51.201318
-3.135986 51.205029 -3.042041 51.248584
-2.433057 51.740723 -2.539355 51.695215
-3.258789 51.398486 -3.293115 51.390430
-3.998340 51.582129 -4.115283 51.566406
-4.327637 51.700244 -4.386279 51.741064
-5.124756 51.705859 -5.168359 51.740723
-5.088086 51.995898 -4.878516 52.041846
-4.099756 52.393115 -4.050537 52.475146
-4.070703 52.658838 -4.039258 52.704053
-4.229150 52.912842 -4.356445 52.897412
-4.638330 52.891113 -4.525684 52.958203
-4.111035 53.218945 -3.809277 53.302686
