# Synthetic fracture network for box-counting analysis
# Generated with power-law length distribution
# Number of fractures: 442
# Domain: [0, 1.0] × [0, 1.0]
# Expected fractal dimension: ~1.4-1.6
# Format: x1 y1 x2 y2
#
0.952597 0.698289 0.948831 0.765699
0.188029 0.276175 0.178780 0.332309
0.269848 0.350197 0.314441 0.382526
0.580538 0.008696 0.604291 0.084205
0.950404 0.939568 0.947367 0.991696
0.086124 0.499767 0.157952 0.490587
0.273853 0.560547 0.243707 0.764497
0.978217 0.747958 0.960953 0.802308
0.799627 0.366293 0.857848 0.347214
0.100106 0.797423 0.181742 0.806971
0.781256 0.018397 0.761285 0.129692
0.541955 0.349196 0.704642 0.312600
0.624143 0.832214 0.650972 0.942211
0.733438 0.513949 0.788132 0.608605
0.112051 0.006353 0.103732 0.056505
0.877995 0.223419 0.937138 0.275165
0.300464 0.137174 0.279039 0.185268
0.874602 0.137528 0.732742 0.235612
0.224799 0.085781 0.411208 0.134323
0.002131 0.428281 0.011773 0.593214
0.353777 0.921103 0.321453 0.964717
0.036723 0.578563 0.037051 0.640565
0.877506 0.237468 0.939026 0.241656
0.642263 0.761664 0.702008 0.761576
0.313600 0.616511 0.421966 0.648101
0.249777 0.161297 0.391783 0.211740
0.516486 0.201609 0.507700 0.251382
0.335120 0.944882 0.438351 0.928578
0.896777 0.146982 0.857902 0.368902
0.258251 0.056199 0.225454 0.130006
0.374317 0.705169 0.324102 0.746743
0.036362 0.160248 0.131917 0.163010
0.636773 0.006786 0.690231 0.003338
0.651243 0.659988 0.732548 0.643935
0.753343 0.618195 0.739639 0.681070
0.341409 0.261027 0.394023 0.269378
0.492880 0.152117 0.492156 0.238369
0.939681 0.925598 0.941237 0.982259
0.950926 0.416933 0.905711 0.439435
0.389524 0.820182 0.380672 0.882092
0.522309 0.074691 0.617813 0.119662
0.860375 0.704795 0.894371 0.776743
0.810474 0.778888 0.808248 0.841339
0.834937 0.636773 0.761654 0.663155
0.376185 0.061424 0.374981 0.126540
0.536021 0.249853 0.549269 0.323229
0.767318 0.175920 0.772669 0.255722
0.557151 0.538674 0.505559 0.542596
0.283770 0.801450 0.362143 0.788922
0.962065 0.810569 0.963232 0.861391
0.170065 0.225490 0.142809 0.274996
0.947152 0.708010 0.962579 0.767784
0.325990 0.759271 0.385955 0.756422
0.466751 0.463702 0.516480 0.483242
0.408725 0.581382 0.388284 0.650319
0.819065 0.669747 0.893915 0.647641
0.648575 0.001037 0.636263 0.051986
0.631299 0.426189 0.655277 0.490317
0.292959 0.848132 0.344992 0.841618
0.347171 0.091702 0.216538 0.144627
0.746818 0.273502 0.860144 0.290567
0.438297 0.162704 0.386938 0.581333
0.747428 0.391725 0.969398 0.466263
0.471321 0.732947 0.539183 0.919968
0.930256 0.087396 0.880508 0.095178
0.590167 0.438205 0.673508 0.458687
0.733642 0.803755 0.849516 0.775481
0.040133 0.515085 0.074984 0.583973
0.144318 0.734455 0.141665 0.788566
0.795747 0.708899 0.847973 0.703586
0.556676 0.364013 0.950080 0.388507
0.916699 0.077163 0.896010 0.145232
0.020090 0.109408 0.092517 0.128228
0.138376 0.962035 0.308815 0.964410
0.402326 0.620052 0.506756 0.635064
0.930523 0.866622 0.970300 0.913906
0.469285 0.325317 0.458112 0.381388
0.920703 0.796272 0.901152 0.848802
0.898052 0.859247 0.967405 0.872881
0.367918 0.786597 0.385009 0.834510
0.885387 0.682461 0.798851 0.994197
0.087063 0.864398 0.025688 0.865047
0.760125 0.903891 0.777850 0.985640
0.546184 0.103043 0.666165 0.354243
0.695731 0.508207 0.647416 0.532409
0.559753 0.835051 0.562123 0.918256
0.760490 0.595403 0.749785 0.645216
0.464213 0.882551 0.410737 0.925766
0.610189 0.829946 0.633984 0.894781
0.489473 0.144288 0.494760 0.372201
0.601903 0.247197 0.664899 0.233094
0.899983 0.441312 0.893594 0.506611
0.012194 0.169549 0.069543 0.168321
0.358307 0.475031 0.370233 0.531803
0.561731 0.068904 0.694070 0.094614
0.775602 0.751622 0.836800 0.744897
0.580373 0.364529 0.656136 0.373299
0.684905 0.885251 0.741794 0.905163
0.497208 0.251347 0.568027 0.233594
0.587018 0.585550 0.600167 0.772654
0.535051 0.560412 0.539162 0.613271
0.656804 0.539232 0.635031 0.602324
0.072296 0.156825 0.131269 0.148894
0.162016 0.298525 0.211118 0.271665
0.177642 0.639128 0.164133 0.698159
0.773706 0.156465 0.765279 0.217623
0.233546 0.076606 0.251274 0.153067
0.534622 0.013899 0.530557 0.089748
0.995683 0.296911 0.984237 0.347796
0.509796 0.389338 0.433357 0.434344
0.147950 0.578825 0.100645 0.882910
0.738021 0.548523 0.744221 0.600423
0.152231 0.789240 0.176301 0.839909
0.402816 0.728867 0.382074 0.904332
0.299601 0.710498 0.303154 0.784721
0.865884 0.617495 0.947060 0.630981
0.503767 0.322235 0.751649 0.347576
0.854561 0.778577 0.933224 0.798618
0.218159 0.734499 0.278819 0.753393
0.254188 0.814175 0.429976 0.828340
0.139302 0.319855 0.115675 0.474720
0.630979 0.639439 0.651317 0.748458
0.185879 0.875925 0.177317 0.940976
0.585920 0.478062 0.586539 0.533715
0.984522 0.496351 0.879714 0.633916
0.603510 0.601021 0.549066 0.612409
0.346153 0.070005 0.555526 0.156471
0.866419 0.408845 0.873373 0.628831
0.344154 0.704794 0.349752 0.770209
0.139162 0.139711 0.142552 0.213063
0.000515 0.414603 0.296811 0.414645
0.022764 0.748557 0.111389 0.751363
0.120457 0.142876 0.289822 0.238500
0.769791 0.427806 0.781264 0.478771
0.526320 0.164876 0.592961 0.145605
0.361355 0.032817 0.456114 0.017956
0.604521 0.019189 0.713327 0.035003
0.079428 0.805586 0.128789 0.794246
0.189982 0.092541 0.286383 0.106342
0.323393 0.661511 0.470974 0.674659
0.865169 0.010966 0.927503 0.015038
0.883890 0.783085 0.901453 0.851802
0.576570 0.237028 0.604020 0.299099
0.918966 0.753198 0.977941 0.774013
0.523022 0.817162 0.451840 0.971943
0.113376 0.819380 0.165336 0.850480
0.239702 0.528144 0.308409 0.580212
0.144705 0.876085 0.129066 0.923953
0.169168 0.865029 0.181575 0.963795
0.738180 0.054695 0.737887 0.110903
0.282225 0.322017 0.295162 0.389329
0.893905 0.707624 0.979755 0.757520
0.240020 0.582577 0.284508 0.607579
0.738472 0.107222 0.803353 0.105975
0.501122 0.632249 0.489860 0.744556
0.277742 0.537887 0.266548 0.642575
0.766257 0.618563 0.846865 0.699004
0.871751 0.174848 0.978746 0.186302
0.293066 0.871643 0.301632 0.977150
0.821521 0.239328 0.867578 0.398873
0.050366 0.690752 0.103540 0.701826
0.569341 0.779549 0.509642 0.801898
0.463689 0.476785 0.340173 0.482966
0.414044 0.359464 0.421489 0.483250
0.265642 0.238587 0.326974 0.228629
0.918885 0.066164 0.653805 0.112658
0.614655 0.129694 0.612168 0.204374
0.467718 0.226226 0.557659 0.235113
0.184249 0.750325 0.188627 0.808844
0.681954 0.095071 0.710087 0.212721
0.534843 0.563595 0.539106 0.622284
0.901558 0.931502 0.875938 0.979801
0.091828 0.367177 0.082145 0.449729
0.440321 0.086818 0.551430 0.075274
0.458480 0.409832 0.531813 0.551341
0.590073 0.222237 0.541391 0.311820
0.909927 0.641251 0.824662 0.775475
0.706933 0.154386 0.798500 0.162824
0.132137 0.262164 0.125602 0.408074
0.761848 0.495869 0.902420 0.519067
0.773987 0.142071 0.489640 0.377536
0.753136 0.515560 0.768920 0.566973
0.886048 0.092559 0.978009 0.112460
0.705156 0.036040 0.711188 0.098661
0.766796 0.692315 0.822823 0.695049
0.224727 0.956362 0.321792 0.945365
0.950027 0.384413 0.937205 0.455041
0.211883 0.001588 0.214326 0.060680
